x,p1_l4,p2_l2,p3_l1,p3_l2,p4_l1,p4_l2,p5_l1,DNS
21.0044,13.4987,14.0939,14.0721,14.8954,14.7111,14.9665,14.9598,14.9518
21.1635,13.857,14.4179,14.3797,15.2314,15.0789,15.3916,15.3645,15.3808
21.2022,13.9399,14.4959,14.4603,15.3177,15.1705,15.4971,15.4622,15.4778
21.2165,13.9701,14.5247,14.4919,15.3506,15.2046,15.5363,15.4981,15.5131
21.2242,13.9861,14.5402,14.5092,15.3685,15.2229,15.5573,15.5173,15.5318
21.2448,14.029,14.5821,14.5575,15.4182,15.2724,15.6141,15.5689,15.5817
21.2451,14.0296,14.5827,14.5583,15.419,15.2731,15.6149,15.5697,15.5825
21.293,14.1268,14.6819,14.6769,15.5495,15.3886,15.7467,15.6882,15.6958
21.304,14.1487,14.7056,14.7045,15.5844,15.4152,15.7769,15.7151,15.7214
21.3624,14.262,14.8541,14.846,15.8174,15.5556,15.9346,15.8553,15.8554
21.374,14.284,14.8812,14.8724,15.8518,15.583,15.9652,15.8823,15.8817
21.3869,14.3081,14.9066,14.901,15.8831,15.613,15.9989,15.9118,15.9109
21.3954,14.3239,14.922,14.9193,15.9015,15.6325,16.0208,15.9309,15.9302
21.409,14.349,14.9457,14.9481,15.9287,15.6631,16.0555,15.9605,15.961
21.4623,14.4445,15.0341,15.0525,16.021,15.7733,16.1847,15.9953,16.0817
21.5199,14.542,15.1277,15.1547,16.1098,15.8729,16.3096,16.1264,16.2126
21.5201,14.5423,15.128,15.1551,16.1101,15.8732,16.3101,16.1269,16.2131
21.5375,14.5706,15.1564,15.1842,16.1361,15.9003,16.3445,16.1625,16.2529
21.5589,14.6046,15.1917,15.2192,16.1681,15.9324,16.385,16.2037,16.3016
21.5714,14.6241,15.2124,15.2391,16.1869,15.9506,16.4077,16.2265,16.3295
21.6296,14.7105,15.3131,15.3279,16.2764,16.0313,16.5043,16.322,16.4517
21.6623,14.7558,15.3768,15.3754,16.328,16.0754,16.5526,16.3695,16.5128
21.7291,14.8407,15.5126,15.4695,16.4344,16.1657,16.6393,16.458,16.6182
21.743,14.857,15.5335,15.4887,16.4562,16.1845,16.6554,16.4756,16.6368
21.7498,14.8648,15.5431,15.4981,16.4668,16.1937,16.6631,16.4842,16.6455
21.7514,14.8666,15.5453,15.5003,16.4693,16.1959,16.6649,16.4862,16.6475
21.8406,14.9569,15.6501,15.6192,16.5865,16.3154,16.7508,16.5953,16.7379
21.8802,14.9895,15.6905,15.6673,16.6204,16.3658,16.7808,16.6375,16.7654
21.9062,15.0083,15.7156,15.6959,16.6376,16.3952,16.7978,16.6621,16.7798
21.9197,15.0172,15.7281,15.7093,16.6452,16.4086,16.8058,16.6739,16.7861
21.9318,15.0246,15.739,15.7202,16.6513,16.4195,16.8125,16.6839,16.7912
21.9759,15.0473,15.7756,15.7467,16.6686,16.4482,16.8332,16.7156,16.8053
21.9812,15.0496,15.7796,15.7484,16.6702,16.4505,16.8353,16.719,16.8065
21.9972,15.0557,15.7908,15.7512,16.6746,16.4561,16.8412,16.7285,16.8098
22.0226,15.0635,15.8057,15.7515,16.6799,16.4613,16.8491,16.7421,16.8137
22.0352,15.0664,15.8113,15.751,16.6819,16.4624,16.8524,16.748,16.8149
22.1027,15.0713,15.8169,15.7498,16.6861,16.4573,16.863,16.7717,16.8159
22.1609,15.0621,15.7993,15.7415,16.6826,16.4432,16.8634,16.7807,16.8099
22.1642,15.0612,15.7981,15.7406,16.6823,16.4422,16.8632,16.7809,16.8094
22.222,15.0399,15.775,15.7188,16.6739,16.4234,16.8561,16.7776,16.7977
22.2883,15.0024,15.7441,15.6996,16.6594,16.3985,16.84,16.7573,16.7786
22.2999,14.9946,15.7382,15.6989,16.6563,16.3938,16.8364,16.7517,16.7747
22.3169,14.9823,15.7292,15.6993,16.6515,16.3867,16.8307,16.7423,16.7687
22.3849,14.9255,15.6888,15.6878,16.627,16.3552,16.8029,16.6916,16.741
22.46,14.8495,15.635,15.6312,16.5715,16.3116,16.7626,16.6151,16.7043
22.4784,14.8291,15.62,15.6119,16.549,16.2985,16.7512,16.5936,16.6944
22.5215,14.7785,15.5811,15.5605,16.4956,16.2615,16.7218,16.5399,16.6695
22.5508,14.7424,15.5512,15.5216,16.4621,16.2302,16.6998,16.5016,16.6514
22.5662,14.7228,15.5342,15.5,16.4448,16.2119,16.6876,16.481,16.6414
22.6121,14.6628,15.4779,15.4323,16.3935,16.1528,16.6486,16.4193,16.61
22.6158,14.6579,15.473,15.4266,16.3894,16.1479,16.6453,16.4143,16.6073
22.6662,14.5896,15.401,15.3479,16.332,16.0818,16.5977,16.346,16.5692
22.749,14.471,15.2613,15.2119,16.2319,15.9757,16.5096,16.2307,16.498
22.7781,14.427,15.2066,15.1628,16.1943,15.9376,16.4759,16.1897,16.4703
22.8032,14.388,15.1574,15.1201,16.1606,15.9041,16.4458,16.1543,16.4452
22.8216,14.3586,15.1201,15.0884,16.135,15.8789,16.4231,16.1283,16.4261
22.9501,14.1322,14.8455,14.8629,15.9412,15.6841,16.2549,15.9512,16.2759
22.9818,14.0697,14.7774,14.8063,15.8912,15.6285,16.2115,15.9172,16.2347
22.9874,14.0584,14.7655,14.7963,15.8824,15.6183,16.2038,15.9106,16.2273
23.0402,13.9479,14.6548,14.7013,15.7994,15.5175,16.1306,15.8345,16.156
23.0855,13.8504,14.5634,14.6196,15.7298,15.4309,16.0675,15.7656,16.0935
23.0939,13.8321,14.5467,14.6043,15.717,15.4153,16.0557,15.7528,16.0818
23.1359,13.742,14.4658,14.5284,15.6547,15.3417,15.9972,15.6902,16.0236
23.3283,13.3752,14.1409,14.1994,15.4013,15.0988,15.7371,15.4305,15.7735
23.3413,13.354,14.1218,14.18,15.3861,15.0871,15.7204,15.415,15.7582
23.3765,13.299,14.0719,14.1294,15.3463,15.0577,15.6762,15.3745,15.7182
23.4279,13.223,14.0037,14.0593,15.2914,15.0201,15.6139,15.3196,15.6631
23.4441,13.2,13.9835,14.038,15.2749,15.0094,15.5949,15.3035,15.6466
23.4669,13.1683,13.9557,14.0084,15.2524,14.9952,15.5686,15.2818,15.6239
23.537,13.075,13.8764,13.9205,15.1883,14.9564,15.4917,15.2226,15.5594
23.5719,13.0307,13.8399,13.8784,15.1592,14.9393,15.4557,15.1971,15.5299
23.7287,12.8448,13.6947,13.7019,15.0476,14.8765,15.3163,15.1092,15.4172
23.772,12.7971,13.6592,13.6573,15.0213,14.8623,15.2854,15.0917,15.3914
23.8622,12.7039,13.5906,13.5719,14.9723,14.8363,15.2343,15.0636,15.3449
23.9418,12.6352,13.5355,13.5063,14.9352,14.8169,15.207,15.0471,15.312
23.9484,12.6304,13.5311,13.5013,14.9324,14.8154,15.2055,15.0461,15.3096
24.0454,12.5737,13.4705,13.4349,14.8997,14.7962,15.197,15.0387,15.2812
24.1154,12.5444,13.4307,13.3949,14.8918,14.785,15.2053,15.0448,15.2688
24.2386,12.5056,13.3684,13.3384,14.9067,14.7707,15.2409,15.0697,15.2655
24.2542,12.5017,13.3612,13.3324,14.9101,14.7694,15.2463,15.0732,15.267
24.2558,12.5013,13.3605,13.3318,14.9105,14.7692,15.2468,15.0736,15.2672
24.2607,12.5001,13.3583,13.33,14.9116,14.7688,15.2485,15.0746,15.2677
24.3291,12.4858,13.3292,13.307,14.9286,14.7647,15.2745,15.0898,15.2803
24.3531,12.4818,13.3198,13.3,14.9353,14.7638,15.2848,15.0951,15.2867
24.3651,12.48,13.3153,13.2967,14.9387,14.7635,15.2903,15.0978,15.2903
24.6284,12.4854,13.262,13.2569,15.0305,14.7792,15.4442,15.159,15.4233
24.6582,12.4898,13.2632,13.2562,15.0429,14.7839,15.4642,15.1665,15.4438
24.7365,12.503,13.2725,13.2574,15.0774,14.7995,15.5181,15.1879,15.5009
24.7638,12.508,13.2764,13.2588,15.0902,14.806,15.5372,15.1962,15.5218
24.7653,12.5083,13.2766,13.2589,15.0909,14.8064,15.5383,15.1967,15.5229
24.845,12.5238,13.2858,13.2657,15.1306,14.8285,15.5947,15.2258,15.5857
24.9066,12.5367,13.2924,13.2735,15.1636,14.8485,15.6386,15.2555,15.635
25.0347,12.5653,13.3097,13.2955,15.237,14.8959,15.7305,15.3282,15.736
25.0355,12.5655,13.3098,13.2957,15.2374,14.8962,15.7311,15.3287,15.7366
25.2017,12.6071,13.3423,13.3352,15.3347,14.9631,15.8502,15.4231,15.8625
25.2274,12.614,13.3483,13.3423,15.3492,14.974,15.8684,15.4379,15.8812
25.4696,12.688,13.4106,13.4213,15.4692,15.0888,16.0367,15.5866,16.0477
25.4977,12.698,13.4182,13.4315,15.4802,15.1049,16.0555,15.606,16.0656
25.5111,12.7029,13.4219,13.4364,15.4851,15.1128,16.0643,15.6156,16.074
25.5181,12.7055,13.4238,13.4389,15.4876,15.117,16.0689,15.6207,16.0784
25.5234,12.7075,13.4253,13.4409,15.4895,15.1202,16.0724,15.6246,16.0818
25.5512,12.7182,13.4329,13.4511,15.4989,15.1376,16.0903,15.6458,16.0989
25.7239,12.7946,13.4808,13.5131,15.5419,15.2383,16.1915,15.7962,16.1998
