    time           T_x           T_y           T_z
 0.5664778345 -0.0015196844 -0.0047725074 -0.0008224984 
 0.5705138091 -0.0015031615 -0.0047922307 -0.0008224992 
 0.5745500111 -0.0014865880 -0.0048119411 -0.0008225001 
 0.5785864380 -0.0014699635 -0.0048316375 -0.0008225009 
 0.5826230876 -0.0014532880 -0.0048513192 -0.0008225017 
 0.5866599579 -0.0014365617 -0.0048709857 -0.0008225025 
 0.5906970470 -0.0014197845 -0.0048906362 -0.0008225033 
 0.5947343528 -0.0014029563 -0.0049102699 -0.0008225042 
 0.5987718734 -0.0013860771 -0.0049298863 -0.0008225050 
 0.6028096051 -0.0013691471 -0.0049494846 -0.0008225058 
 0.6068475462 -0.0013521659 -0.0049690641 -0.0008225067 
 0.6108856931 -0.0013351337 -0.0049886243 -0.0008225075 
 0.6149240439 -0.0013180504 -0.0050081645 -0.0008225083 
 0.6189625970 -0.0013009160 -0.0050276840 -0.0008225092 
 0.6230013505 -0.0012837306 -0.0050471822 -0.0008225100 
 0.6270403028 -0.0012664941 -0.0050666587 -0.0008225109 
 0.6310794513 -0.0012492066 -0.0050861127 -0.0008225117 
 0.6351187924 -0.0012318681 -0.0051055438 -0.0008225126 
 0.6391583239 -0.0012144784 -0.0051249513 -0.0008225134 
 0.6431980442 -0.0011970376 -0.0051443346 -0.0008225143 
 0.6472379519 -0.0011795457 -0.0051636933 -0.0008225152 
 0.6512780453 -0.0011620028 -0.0051830268 -0.0008225160 
 0.6553183231 -0.0011444089 -0.0052023346 -0.0008225169 
 0.6593587830 -0.0011267640 -0.0052216161 -0.0008225178 
 0.6633994226 -0.0011090681 -0.0052408710 -0.0008225186 
 0.6674402403 -0.0010913211 -0.0052600985 -0.0008225195 
 0.6714812331 -0.0010735233 -0.0052792984 -0.0008225204 
 0.6755223997 -0.0010556745 -0.0052984701 -0.0008225213 
 0.6795637387 -0.0010377747 -0.0053176130 -0.0008225222 
 0.6836052488 -0.0010198240 -0.0053367268 -0.0008225230 
 0.6876469286 -0.0010018225 -0.0053558110 -0.0008225239 
 0.6916887754 -0.0009837702 -0.0053748652 -0.0008225248 
 0.6957307865 -0.0009656671 -0.0053938889 -0.0008225257 
 0.6997729603 -0.0009475132 -0.0054128815 -0.0008225266 
 0.7038152956 -0.0009293085 -0.0054318428 -0.0008225275 
 0.7078577910 -0.0009110531 -0.0054507724 -0.0008225284 
 0.7119004456 -0.0008927472 -0.0054696697 -0.0008225293 
 0.7159432579 -0.0008743905 -0.0054885344 -0.0008225302 
 0.7199862259 -0.0008559834 -0.0055073661 -0.0008225312 
 0.7240293478 -0.0008375258 -0.0055261643 -0.0008225321 
 0.7280726225 -0.0008190176 -0.0055449288 -0.0008225330 
 0.7321160472 -0.0008004591 -0.0055636591 -0.0008225339 
 0.7361596211 -0.0007818501 -0.0055823547 -0.0008225349 
 0.7402033429 -0.0007631908 -0.0056010154 -0.0008225358 
 0.7442472117 -0.0007444812 -0.0056196408 -0.0008225367 
 0.7482912260 -0.0007257214 -0.0056382305 -0.0008225377 
 0.7523353837 -0.0007069115 -0.0056567841 -0.0008225386 
 0.7563796826 -0.0006880515 -0.0056753014 -0.0008225396 
 0.7604241214 -0.0006691414 -0.0056937818 -0.0008225405 
 0.7644686990 -0.0006501813 -0.0057122252 -0.0008225415 
 0.7685134145 -0.0006311712 -0.0057306311 -0.0008225424 
 0.7725582669 -0.0006121113 -0.0057489992 -0.0008225434 
 0.7766032553 -0.0005930016 -0.0057673292 -0.0008225443 
 0.7806483773 -0.0005738422 -0.0057856209 -0.0008225453 
 0.7846936321 -0.0005546331 -0.0058038737 -0.0008225463 
 0.7887390183 -0.0005353744 -0.0058220875 -0.0008225472 
 0.7927845339 -0.0005160662 -0.0058402619 -0.0008225482 
 0.7968301780 -0.0004967085 -0.0058583965 -0.0008225492 
