    time           T_x           T_y           T_z      
 3.5164939982  0.0167535612 -0.0037972992 -0.0008244714 
 3.5327397693  0.0168361303 -0.0036961811 -0.0008244928 
 3.5489847474  0.0169179374 -0.0035941950 -0.0008245144 
 3.5652289311  0.0169989748 -0.0034913471 -0.0008245361 
 3.5814723361  0.0170792354 -0.0033876439 -0.0008245580 
 3.5977149596  0.0171587119 -0.0032830922 -0.0008245800 
 3.6139568037  0.0172373969 -0.0031776983 -0.0008246021 
 3.6301978369  0.0173152832 -0.0030714694 -0.0008246243 
 3.6464380676  0.0173923635 -0.0029644118 -0.0008246467 
 3.6626775158  0.0174686310 -0.0028565323 -0.0008246692 
 3.6789161745  0.0175440786 -0.0027478381 -0.0008246919 
 3.6951540438  0.0176186992 -0.0026383356 -0.0008247146 
 3.7113911055  0.0176924859 -0.0025280323 -0.0008247376 
 3.7276273620  0.0177654319 -0.0024169348 -0.0008247606 
 3.7438628321  0.0178375303 -0.0023050502 -0.0008247838 
 3.7600975092  0.0179087747 -0.0021923857 -0.0008248071 
 3.7763313893  0.0179791581 -0.0020789484 -0.0008248306 
 3.7925644490  0.0180486739 -0.0019647457 -0.0008248542 
 3.8087967002  0.0181173155 -0.0018497846 -0.0008248779 
 3.8250281595  0.0181850767 -0.0017340724 -0.0008249018 
 3.8412588243  0.0182519509 -0.0016176166 -0.0008249258 
 3.8574886895  0.0183179317 -0.0015004244 -0.0008249499 
 3.8737177389  0.0183830129 -0.0013825034 -0.0008249742 
 3.8899459781  0.0184471880 -0.0012638611 -0.0008249986 
 3.9061734244  0.0185104512 -0.0011445048 -0.0008250232 
 3.9224000743  0.0185727962 -0.0010244422 -0.0008250479 
 3.9386259207  0.0186342170 -0.0009036809 -0.0008250727 
 3.9548509436  0.0186947076 -0.0007822288 -0.0008250977 
 3.9710751550  0.0187542618 -0.0006600934 -0.0008251228 
 3.9872985723  0.0188128741 -0.0005372823 -0.0008251480 
 4.0035211932  0.0188705388 -0.0004138035 -0.0008251734 
 4.0197430131  0.0189272499 -0.0002896646 -0.0008251989 
 4.0359640175  0.0189830019 -0.0001648738 -0.0008252246 
 4.0521842106  0.0190377889 -0.0000394388 -0.0008252504 
 4.0684036119  0.0190916057  0.0000866325 -0.0008252763 
 4.0846222162  0.0191444469  0.0002133320 -0.0008253024 
 4.1008400225  0.0191963069  0.0003406518 -0.0008253286 
 4.1170570065  0.0192471804  0.0004685835 -0.0008253550 
 4.1332731791  0.0192970619  0.0005971193 -0.0008253815 
 4.1494885614  0.0193459466  0.0007262511 -0.0008254081 
 4.1657031482  0.0193938293  0.0008559706 -0.0008254349 
 4.1819169391  0.0194407048  0.0009862696 -0.0008254618 
 4.1981299203  0.0194865682  0.0011171398 -0.0008254889 
 4.2143420944  0.0195314144  0.0012485730 -0.0008255161 
 4.2305534806  0.0195752386  0.0013805609 -0.0008255434 
 4.2467640741  0.0196180363  0.0015130950 -0.0008255709 
 4.2629738811  0.0196598024  0.0016461673 -0.0008255985 
 4.2791828765  0.0197005325  0.0017797688 -0.0008256263 
 4.2953910636  0.0197402217  0.0019138913 -0.0008256542 
 4.3115984646  0.0197788656  0.0020485265 -0.0008256823 
 4.3278050796  0.0198164600  0.0021836657 -0.0008257105 
 4.3440109126  0.0198530003  0.0023193005 -0.0008257388 
 4.3602159484  0.0198884822  0.0024554222 -0.0008257673 
 4.3764201856  0.0199229014  0.0025920222 -0.0008257959 
 4.3926236391  0.0199562537  0.0027290919 -0.0008258247 
 4.4088263134  0.0199885352  0.0028666226 -0.0008258536 
 4.4250282186  0.0200197417  0.0030046059 -0.0008258827 
 4.4412293272  0.0200498695  0.0031430326 -0.0008259119 
 4.4574296379  0.0200789141  0.0032818941 -0.0008259413 
 4.4736291676  0.0201068721  0.0034211817 -0.0008259708 
 4.4898279274  0.0201337397  0.0035608867 -0.0008260004 
 4.5060259238  0.0201595132  0.0037010003 -0.0008260302 
 4.5222231412  0.0201841891  0.0038415135 -0.0008260601 
 4.5384195732  0.0202077635  0.0039824174 -0.0008260902 
 4.5546152273  0.0202302332  0.0041237031 -0.0008261204 
 4.5708101206  0.0202515946  0.0042653618 -0.0008261508 
 4.5870042532  0.0202718446  0.0044073846 -0.0008261813 
 4.6031976244  0.0202909798  0.0045497625 -0.0008262120 
 4.6193902138  0.0203089971  0.0046924863 -0.0008262428 
 4.6355820289  0.0203258931  0.0048355471 -0.0008262738 
 4.6517730943  0.0203416649  0.0049789360 -0.0008263049 
 4.6679634060  0.0203563097  0.0051226439 -0.0008263361 
 4.6841529664  0.0203698243  0.0052666618 -0.0008263675 
 4.7003417659  0.0203822061  0.0054109805 -0.0008263991 
 4.7165298044  0.0203934521  0.0055555907 -0.0008264308 
 4.7327170975  0.0204035596  0.0057004837 -0.0008264626 
 4.7489036474  0.0204125262  0.0058456501 -0.0008264946 
 4.7650894671  0.0204203492  0.0059910810 -0.0008265268 
 4.7812745316  0.0204270263  0.0061367668 -0.0008265591 
 4.7974588400  0.0204325547  0.0062826985 -0.0008265915 
 4.8136424078  0.0204369322  0.0064288669 -0.0008266241 
 4.8298252491  0.0204401567  0.0065752629 -0.0008266569 
 4.8460073687  0.0204422259  0.0067218772 -0.0008266898 
 4.8621887529  0.0204431377  0.0068687006 -0.0008267228 
 4.8783693995  0.0204428899  0.0070157236 -0.0008267561 
 4.8945493138  0.0204414806  0.0071629370 -0.0008267894 
 4.9107285142  0.0204389079  0.0073103318 -0.0008268229 
 4.9269069973  0.0204351701  0.0074578985 -0.0008268566 
 4.9430847707  0.0204302651  0.0076056278 -0.0008268904 
 4.9592618151  0.0204241916  0.0077535103 -0.0008269244 
 4.9754381348  0.0204169476  0.0079015366 -0.0008269585 
 4.9916137499  0.0204085316  0.0080496975 -0.0008269928 
 5.0077886655  0.0203989424  0.0081979838 -0.0008270272 
 5.0239628864  0.0203881783  0.0083463860 -0.0008270618 
 5.0401364049  0.0203762381  0.0084948948 -0.0008270965 
 5.0563092152  0.0203631205  0.0086435006 -0.0008271314 
 5.0724813267  0.0203488242  0.0087921941 -0.0008271664 
 5.0886527524  0.0203333482  0.0089409661 -0.0008272016 
 5.1048234982  0.0203166914  0.0090898071 -0.0008272370 
 5.1209935616  0.0202988528  0.0092387077 -0.0008272725 
 5.1371629270  0.0202798317  0.0093876584 -0.0008273082 
 5.1533316027  0.0202596269  0.0095366498 -0.0008273440 
 5.1694996118  0.0202382377  0.0096856726 -0.0008273800 
 5.1856669525  0.0202156637  0.0098347173 -0.0008274161 
 5.2018336266  0.0201919041  0.0099837746 -0.0008274524 
 5.2179996315  0.0201669582  0.0101328350 -0.0008274889 
 5.2341649642  0.0201408258  0.0102818890 -0.0008275255 
 5.2503296367  0.0201135062  0.0104309272 -0.0008275623 
 5.2664936555  0.0200849993  0.0105799402 -0.0008275992 
 5.2826570336  0.0200553046  0.0107289187 -0.0008276363 
 5.2988197617  0.0200244222  0.0108778531 -0.0008276736 
 5.3149818278  0.0199923518  0.0110267340 -0.0008277110 
 5.3311432429  0.0199590933  0.0111755518 -0.0008277485 
 5.3473040311  0.0199246467  0.0113242974 -0.0008277863 
 5.3634641876  0.0198890124  0.0114729613 -0.0008278242 
 5.3796237129  0.0198521901  0.0116215340 -0.0008278622 
 5.3957826085  0.0198141804  0.0117700061 -0.0008279004 
 5.4119408714  0.0197749834  0.0119183681 -0.0008279388 
 5.4280985146  0.0197345995  0.0120666107 -0.0008279774 
 5.4442555416  0.0196930293  0.0122147244 -0.0008280161 
 5.4604118534  0.0196502739  0.0123626990 -0.0008280549 
 5.4765671534  0.0196063349  0.0125105223 -0.0008280940 
 5.4927214470  0.0195612108  0.0126581848 -0.0008281332 
 5.5088747510  0.0195149046  0.0128056774 -0.0008281725 
 5.5250270804  0.0194674167  0.0129529908 -0.0008282120 
 5.5411784497  0.0194187476  0.0131001158 -0.0008282517 
 5.5573288353  0.0193688989  0.0132470426 -0.0008282916 
 5.5734782289  0.0193178715  0.0133937620 -0.0008283316 
 5.5896266531  0.0192656663  0.0135402647 -0.0008283718 
 5.6057741414  0.0192122847  0.0136865416 -0.0008284121 
 5.6219206884  0.0191577282  0.0138325834 -0.0008284526 
 5.6380662874  0.0191019978  0.0139783807 -0.0008284933 
 5.6542109414  0.0190450951  0.0141239242 -0.0008285341 
 5.6703546584  0.0189870217  0.0142692046 -0.0008285751 
 5.6864974585  0.0189277789  0.0144142128 -0.0008286163 
 5.7026393478  0.0188673685  0.0145589396 -0.0008286577 
 5.7187803420  0.0188057922  0.0147033759 -0.0008286992 
 5.7349204239  0.0187430518  0.0148475123 -0.0008287409 
